batsman_name,runs_batter,balls,wicket,average,strike_rate
Luke Jongwe,60.0,59,5.0,12.0,101.694915254
Luke Ronchi,75.0,57,5.0,15.0,131.578947368
Luke Wright,291.0,230,20.0,14.55,126.52173913
MS Dhoni,418.0,341,7.0,59.7142857143,122.580645161
Mahela Jayawardene,518.0,441,20.0,25.9,117.46031746
Mahela Udawatte,61.0,46,4.0,15.25,132.608695652
Mahmudullah,340.0,309,18.0,18.8888888889,110.03236246
Mahuru Dai,13.0,27,2.0,6.5,48.1481481481
Majid Haq,40.0,67,3.0,13.3333333333,59.7014925373
Makhaya Ntini,5.0,5,1.0,5.0,100.0
Malcolm Waller,181.0,141,8.0,22.625,128.368794326
Malinga Bandara,11.0,13,1.0,11.0,84.6153846154
Manish Pandey,0.0,3,1.0,0.0,0.0
Manny Aulakh,0.0,2,1.0,0.0,0.0
Marcus Stoinis,10.0,9,1.0,10.0,111.111111111
Marcus Trescothick,72.0,60,1.0,72.0,120.0
Mark Boucher,167.0,177,9.0,18.5555555556,94.3502824859
Mark Chapman,205.0,168,10.0,20.5,122.023809524
Mark Gillespie,4.0,7,1.0,4.0,57.1428571429
Mark Jonkman,1.0,8,1.0,1.0,12.5
Mark Watt,5.0,6,2.0,2.5,83.3333333333
Marlon Samuels,219.0,225,10.0,21.9,97.3333333333
Martin Guptill,882.0,720,23.0,38.347826087,122.5
Mashrafe Mortaza,213.0,159,14.0,15.2142857143,133.962264151
Mathew Sinclair,0.0,5,2.0,0.0,0.0
Matt Henry,10.0,6,1.0,10.0,166.666666667
Matt Machan,157.0,125,3.0,52.3333333333,125.6
Matt Prior,89.0,73,3.0,29.6666666667,121.917808219
Matthew Cross,235.0,154,8.0,29.375,152.597402597
Matthew Hayden,266.0,183,2.0,133.0,145.355191257
Matthew Wade,65.0,74,8.0,8.125,87.8378378378
Max O'Dowd,26.0,28,2.0,13.0,92.8571428571
Max Sorensen,24.0,36,3.0,8.0,66.6666666667
Mehrab Hossain jnr,6.0,8,0.0,inf,75.0
Mehran Khan,12.0,19,1.0,12.0,63.1578947368
Michael Carberry,7.0,9,1.0,7.0,77.7777777778
Michael Clarke,257.0,243,8.0,32.125,105.761316872
Michael Hussey,421.0,318,9.0,46.7777777778,132.389937107
Michael Kasprowicz,3.0,6,0.0,inf,50.0
Michael Leask,30.0,28,5.0,6.0,107.142857143
Michael Lumb,314.0,239,13.0,24.1538461538,131.380753138
Michael Rippon,27.0,28,2.0,13.5,96.4285714286
Michael Swart,243.0,240,10.0,24.3,101.25
Michael Vaughan,27.0,21,1.0,27.0,128.571428571
Michael Yardy,64.0,53,2.0,32.0,120.754716981
Milinda Siriwardana,144.0,101,4.0,36.0,142.574257426
Mirwais Ashraf,55.0,63,5.0,11.0,87.3015873016
Misbah-ul-Haq,418.0,411,12.0,34.8333333333,101.703163017
Mitchell Johnson,45.0,44,4.0,11.25,102.272727273
Mitchell Marsh,15.0,14,1.0,15.0,107.142857143
Mitchell McClenaghan,7.0,9,1.0,7.0,77.7777777778
Mitchell Santner,9.0,17,2.0,4.5,52.9411764706
Mitchell Starc,8.0,14,1.0,8.0,57.1428571429
Moeen Ali,13.0,18,3.0,4.33333333333,72.2222222222
Mohammad Amir,3.0,10,1.0,3.0,30.0
Mohammad Ashraful,338.0,255,13.0,26.0,132.549019608
Mohammad Asif,9.0,3,0.0,inf,300.0
Mohammad Hafeez,675.0,596,37.0,18.2432432432,113.255033557
Mohammad Iqbal,5.0,14,2.0,2.5,35.7142857143
Mohammad Irfan,3.0,5,0.0,inf,60.0
Mohammad Mithun,1.0,4,2.0,0.5,25.0
Mohammad Nabi,220.0,175,13.0,16.9230769231,125.714285714
Mohammad Nadeem,6.0,3,1.0,6.0,200.0
Mohammad Naveed,31.0,39,3.0,10.3333333333,79.4871794872
Mohammad Qazi,0.0,1,1.0,0.0,0.0
Mohammad Rizwan,57.0,62,5.0,11.4,91.935483871
Mohammad Salman,5.0,6,1.0,5.0,83.3333333333
Mohammad Sami,9.0,12,0.0,inf,75.0
Mohammad Shahzad,556.0,438,22.0,25.2727272727,126.940639269
Mohammad Yousuf,20.0,20,1.0,20.0,100.0
Mohit Sharma,3.0,3,0.0,inf,100.0
Mominul Haque,51.0,44,2.0,25.5,115.909090909
Monde Zondeki,0.0,1,1.0,0.0,0.0
Moneeb Iqbal,3.0,7,1.0,3.0,42.8571428571
Monty Panesar,1.0,2,1.0,1.0,50.0
Morne Morkel,8.0,8,2.0,4.0,100.0
Morne van Wyk,89.0,68,4.0,22.25,130.882352941
Morris Ouma,37.0,58,7.0,5.28571428571,63.7931034483
Mosaddek Hossain,15.0,20,1.0,15.0,75.0
Mudassar Bukhari,44.0,44,8.0,5.5,100.0
Muhammad Kaleem,11.0,24,3.0,3.66666666667,45.8333333333
Muhammad Usman,77.0,81,3.0,25.6666666667,95.0617283951
Mukhtar Ahmed,149.0,94,3.0,49.6666666667,158.510638298
Muktar Ali,19.0,15,0.0,inf,126.666666667
Munir Dar,36.0,27,1.0,36.0,133.333333333
Munis Ansari,2.0,6,0.0,inf,33.3333333333
Murali Vijay,121.0,130,6.0,20.1666666667,93.0769230769
Mushfiqur Rahim,424.0,362,20.0,21.2,117.127071823
Mustafizur Rahman,1.0,8,2.0,0.5,12.5
Muttiah Muralitharan,1.0,4,1.0,1.0,25.0
Nadeem Ahmed,11.0,26,4.0,2.75,42.3076923077
Nadif Chowdhury,5.0,6,0.0,inf,83.3333333333
Naeem Islam,91.0,80,7.0,13.0,113.75
Najeeb Amar,2.0,9,1.0,2.0,22.2222222222
Najeeb Tarakai,7.0,6,1.0,7.0,116.666666667
Najibullah Zadran,155.0,119,6.0,25.8333333333,130.25210084
Naman Ojha,12.0,28,2.0,6.0,42.8571428571
Narsingh Deonarine,3.0,4,2.0,1.5,75.0
Nasir Hossain,207.0,178,11.0,18.8181818182,116.292134831
Nasir Jamshed,146.0,147,9.0,16.2222222222,99.3197278912
Nathan Astle,55.0,55,3.0,18.3333333333,100.0
Nathan Bracken,3.0,4,1.0,3.0,75.0
Nathan Coulter-Nile,29.0,22,3.0,9.66666666667,131.818181818
Nathan McCullum,143.0,147,17.0,8.41176470588,97.2789115646
Natsai M'shangwe,0.0,1,1.0,0.0,0.0
Nauman Anwar,18.0,10,1.0,18.0,180.0
Navdeep Poonia,43.0,67,2.0,21.5,64.1791044776
Naved-ul-Hasan,1.0,9,1.0,1.0,11.1111111111
Nawroz Mangal,244.0,224,10.0,24.4,108.928571429
Nazimuddin,167.0,145,8.0,20.875,115.172413793
Nehemiah Odhiambo,40.0,45,7.0,5.71428571429,88.8888888889
Neil Broom,56.0,50,4.0,14.0,112.0
Neil Carter,4.0,13,2.0,2.0,30.7692307692
Neil McCallum,46.0,54,4.0,11.5,85.1851851852
Nelson Odhiambo,14.0,41,3.0,4.66666666667,34.1463414634
Neville Madziva,42.0,34,1.0,42.0,123.529411765
Niall O'Brien,234.0,263,15.0,15.6,88.9733840304
Nic Maddinson,4.0,6,1.0,4.0,66.6666666667
Nikita Miller,31.0,34,1.0,31.0,91.1764705882
Niroshan Dickwella,4.0,3,1.0,4.0,133.333333333
Nitish Kumar,63.0,63,4.0,15.75,100.0
Nizakat Khan,129.0,144,10.0,12.9,89.5833333333
Noor Ali Zadran,121.0,113,4.0,30.25,107.079646018
Norman Vanua,54.0,27,0.0,inf,200.0
Nosaina Pokana,2.0,3,1.0,2.0,66.6666666667
Nurul Hasan,52.0,38,1.0,52.0,136.842105263
Nuwan Kulasekara,77.0,71,11.0,7.0,108.450704225
Oliver Pitcher,6.0,8,0.0,inf,75.0
Owais Shah,140.0,107,5.0,28.0,130.841121495
Paras Khadka,137.0,120,3.0,45.6666666667,114.166666667
Pat Cummins,23.0,26,4.0,5.75,88.4615384615
Paul Collingwood,235.0,214,14.0,16.7857142857,109.813084112
Paul Hitchcock,13.0,11,1.0,13.0,118.181818182
Paul Nixon,31.0,23,0.0,inf,134.782608696
Paul Stirling,544.0,433,19.0,28.6315789474,125.635103926
Paul van Meekeren,0.0,3,1.0,0.0,0.0
Peter Borren,232.0,194,13.0,17.8461538462,119.587628866
Peter Connell,1.0,3,1.0,1.0,33.3333333333
Peter Fulton,62.0,68,5.0,12.4,91.1764705882
Peter Ingram,20.0,23,0.0,inf,86.9565217391
Peter McGlashan,16.0,29,3.0,5.33333333333,55.1724137931
Peter Moor,46.0,49,3.0,15.3333333333,93.8775510204
Peter Ongondo,4.0,7,2.0,2.0,57.1428571429
Phillip Hughes,6.0,8,1.0,6.0,75.0
Pieter Seelaar,13.0,19,4.0,3.25,68.4210526316
Pipi Raho,2.0,2,0.0,inf,100.0
Pradeep Airee,30.0,23,5.0,6.0,130.434782609
Pragyan Ojha,10.0,6,0.0,inf,166.666666667
Preston Mommsen,269.0,206,9.0,29.8888888889,130.582524272
Prosper Utseya,67.0,66,5.0,13.4,101.515151515
Qadeer Ahmed,7.0,11,1.0,7.0,63.6363636364
Quinton de Kock,180.0,151,4.0,45.0,119.205298013
RP Singh,3.0,3,0.0,inf,100.0
Raees Ahmadzai,4.0,2,1.0,4.0,200.0
Rafatullah Mohmand,39.0,47,3.0,13.0,82.9787234043
Ragheb Aga,43.0,56,7.0,6.14285714286,76.7857142857
Rajesh Pulami,13.0,16,1.0,13.0,81.25
Rakep Patel,187.0,145,7.0,26.7142857143,128.965517241
Ramesh David,37.0,56,3.0,12.3333333333,66.0714285714
Ramnaresh Sarwan,231.0,225,8.0,28.875,102.666666667
Raqibul Hasan,19.0,26,2.0,9.5,73.0769230769
Rashid Khan,3.0,3,0.0,inf,100.0
Ravi Bopara,453.0,364,16.0,28.3125,124.450549451
Ravi Rampaul,3.0,10,0.0,inf,30.0
Ravichandran Ashwin,15.0,17,0.0,inf,88.2352941176
Ravindra Jadeja,60.0,73,6.0,10.0,82.1917808219
Ray Price,3.0,12,3.0,1.0,25.0
Raza Hasan,5.0,12,0.0,inf,41.6666666667
Raza-ur-Rehman,25.0,29,3.0,8.33333333333,86.2068965517
Reeza Hendricks,0.0,3,1.0,0.0,0.0
Regan West,10.0,10,1.0,10.0,100.0
Regis Chakabva,17.0,30,2.0,8.5,56.6666666667
Reinhardt Strydom,5.0,4,0.0,inf,125.0
Richard Levi,176.0,115,3.0,58.6666666667,153.043478261
Richie Berrington,240.0,210,13.0,18.4615384615,114.285714286
Richmond Mutumbami,39.0,51,6.0,6.5,76.4705882353
Ricky Ponting,71.0,72,4.0,17.75,98.6111111111
Rilee Rossouw,179.0,129,5.0,35.8,138.759689922
Rizwan Cheema,121.0,125,9.0,13.4444444444,96.8
Rob Nicol,219.0,199,10.0,21.9,110.050251256
Rob Taylor,23.0,19,2.0,11.5,121.052631579
Robin Peterson,25.0,30,3.0,8.33333333333,83.3333333333
Robin Uthappa,95.0,72,3.0,31.6666666667,131.944444444
Rodney Trott,2.0,4,0.0,inf,50.0
Roelof van der Merwe,3.0,4,1.0,3.0,75.0
Rohan Mustafa,77.0,70,6.0,12.8333333333,110.0
Rohit Sharma,489.0,422,17.0,28.7647058824,115.876777251
Ronnie Hira,32.0,21,1.0,32.0,152.380952381
Rony Talukdar,21.0,22,1.0,21.0,95.4545454545
Rory Kleinveldt,22.0,8,1.0,22.0,275.0
Ross Lyons,0.0,2,1.0,0.0,0.0
Ross Taylor,515.0,444,26.0,19.8076923077,115.990990991
Rubel Hossain,0.0,5,0.0,,0.0
Runako Morton,60.0,56,2.0,30.0,107.142857143
Rustam Bhatti,17.0,32,1.0,17.0,53.125
Rusty Theron,31.0,21,0.0,inf,147.619047619
Ruvindu Gunasekera,156.0,134,8.0,19.5,116.417910448
Ryan Campbell,9.0,19,1.0,9.0,47.3684210526
Ryan Flannigan,33.0,28,1.0,33.0,117.857142857
Ryan Watson,60.0,72,4.0,15.0,83.3333333333
Ryan ten Doeschate,154.0,120,3.0,51.3333333333,128.333333333
Saad Nasim,19.0,21,1.0,19.0,90.4761904762
Sabbir Rahman,251.0,206,9.0,27.8888888889,121.844660194
Sachin Tendulkar,10.0,13,1.0,10.0,76.9230769231
Sachithra Senanayake,17.0,24,4.0,4.25,70.8333333333
Saeed Ajmal,64.0,65,6.0,10.6666666667,98.4615384615
Safyaan Sharif,39.0,31,2.0,19.5,125.806451613
Sagar Pun,9.0,11,1.0,9.0,81.8181818182
Sajid Mahmood,1.0,1,0.0,inf,100.0
Salman Butt,215.0,237,8.0,26.875,90.7172995781
Samit Patel,130.0,119,6.0,21.6666666667,109.243697479
Samiullah Shenwari,170.0,178,7.0,24.2857142857,95.5056179775
Samuel Badree,15.0,25,0.0,inf,60.0
Sanath Jayasuriya,203.0,175,10.0,20.3,116.0
Sandeep Jyoti,10.0,22,1.0,10.0,45.4545454545
Sandeep Sharma,1.0,1,0.0,inf,100.0
Sanjayan Thuraisingam,3.0,6,0.0,inf,50.0
Sanju Samson,19.0,24,1.0,19.0,79.1666666667
Saqlain Haider,7.0,27,3.0,2.33333333333,25.9259259259
Sarfraz Ahmed,179.0,152,6.0,29.8333333333,117.763157895
Scott Borthwick,14.0,16,1.0,14.0,87.5
Scott Styris,287.0,252,14.0,20.5,113.888888889
Sean Abbott,5.0,9,1.0,5.0,55.5555555556
Sean Williams,153.0,133,8.0,19.125,115.037593985
Seekkuge Prasanna,4.0,8,1.0,4.0,50.0
Sese Bau,0.0,3,1.0,0.0,0.0
Shafiqullah,111.0,78,4.0,27.75,142.307692308
Shafiul Islam,16.0,14,2.0,8.0,114.285714286
Shahadat Hossain,4.0,5,1.0,4.0,80.0
Shahid Afridi,601.0,402,33.0,18.2121212121,149.502487562
Shahzaib Hasan,54.0,53,2.0,27.0,101.886792453
Shaiman Anwar,117.0,112,5.0,23.4,104.464285714
Shakeel Ansar,0.0,1,1.0,0.0,0.0
Shakib Al Hasan,487.0,432,25.0,19.48,112.731481481
Shaminda Eranga,6.0,8,1.0,6.0,75.0
Shamsur Rahman,83.0,79,5.0,16.6,105.063291139
Shane Bond,9.0,5,0.0,inf,180.0
Shane Watson,704.0,516,27.0,26.0740740741,136.434108527
Shapoor Zadran,24.0,50,3.0,8.0,48.0
Sharad Vesawkar,64.0,81,4.0,16.0,79.012345679
Sharjeel Khan,137.0,101,5.0,27.4,135.643564356
Shaun Marsh,148.0,145,6.0,24.6666666667,102.068965517
Shaun Pollock,82.0,61,3.0,27.3333333333,134.426229508
Shaun Tait,9.0,10,1.0,9.0,90.0
Shawn Findlay,32.0,31,2.0,16.0,103.225806452
Shehan Jayasuriya,60.0,59,2.0,30.0,101.694915254
Sheldon Cottrell,0.0,1,1.0,0.0,0.0
Shem Ngoche,48.0,47,2.0,24.0,102.127659574
Shikhar Dhawan,245.0,209,8.0,30.625,117.224880383
Shingi Masakadza,10.0,15,2.0,5.0,66.6666666667
Shivnarine Chanderpaul,157.0,182,9.0,17.4444444444,86.2637362637
Shoaib Akhtar,5.0,3,0.0,inf,166.666666667
Shoaib Khan,56.0,66,2.0,28.0,84.8484848485
Shoaib Malik,659.0,635,24.0,27.4583333333,103.779527559
Shuvagata Hom,6.0,7,1.0,6.0,85.7142857143
Sikandar Raza,145.0,166,12.0,12.0833333333,87.3493975904
Sikander Zulfiqar,9.0,15,0.0,inf,60.0
Simon Katich,39.0,23,1.0,39.0,169.565217391
Simon Smith,8.0,12,1.0,8.0,66.6666666667
Sohag Gazi,48.0,53,3.0,16.0,90.5660377358
Sohaib Maqsood,114.0,103,6.0,19.0,110.67961165
Sohail Tanvir,140.0,120,9.0,15.5555555556,116.666666667
Sompal Kami,25.0,21,2.0,12.5,119.047619048
Soumya Sarkar,146.0,126,6.0,24.3333333333,115.873015873
Sreesanth,19.0,10,0.0,inf,190.0
Stefan Kelly,2.0,3,0.0,inf,66.6666666667
Stephan Myburgh,246.0,149,9.0,27.3333333333,165.100671141
Stephen Fleming,72.0,63,4.0,18.0,114.285714286
Stephen Parry,1.0,1,0.0,inf,100.0
Steve O'Keefe,28.0,21,2.0,14.0,133.333333333
Steve Tikolo,230.0,177,5.0,46.0,129.943502825
Steven Davies,75.0,62,4.0,18.75,120.967741935
Steven Finn,14.0,19,1.0,14.0,73.6842105263
Steven Outerbridge,8.0,6,1.0,8.0,133.333333333
Steven Smith,182.0,152,8.0,22.75,119.736842105
Stuart Binny,24.0,24,2.0,12.0,100.0
Stuart Broad,38.0,40,7.0,5.42857142857,95.0
Stuart Matsikenyeri,11.0,21,3.0,3.66666666667,52.380952381
Stuart Poynter,26.0,36,3.0,8.66666666667,72.2222222222
Stuart Thompson,22.0,24,4.0,5.5,91.6666666667
Subash Khakurel,22.0,47,4.0,5.5,46.8085106383
Sufyan Mehmood,13.0,32,0.0,inf,40.625
Suhrawadi Shuvo,1.0,3,0.0,inf,33.3333333333
Sulieman Benn,28.0,26,2.0,14.0,107.692307692
Sultan Ahmed,64.0,48,3.0,21.3333333333,133.333333333
Sunil Dhaniram,70.0,84,4.0,17.5,83.3333333333
Sunil Narine,51.0,36,3.0,17.0,141.666666667
Suraj Randiv,8.0,6,2.0,4.0,133.333333333
Suranga Lakmal,1.0,1,0.0,inf,100.0
Suresh Raina,471.0,370,16.0,29.4375,127.297297297
Swapnil Patil,51.0,57,4.0,12.75,89.4736842105
Tamim Iqbal,539.0,495,28.0,19.25,108.888888889
Tanmay Mishra,80.0,106,6.0,13.3333333333,75.4716981132
Tanveer Ahmed,0.0,2,1.0,0.0,0.0
Tanwir Afzal,149.0,106,9.0,16.5555555556,140.566037736
Taskin Ahmed,16.0,19,0.0,inf,84.2105263158
Tatenda Taibu,104.0,107,4.0,26.0,97.1962616822
Tawanda Mupariwa,3.0,1,0.0,inf,300.0
Tendai Chisoro,10.0,8,0.0,inf,125.0
Thilan Thushara,3.0,6,1.0,3.0,50.0
Thilina Kandamby,3.0,4,1.0,3.0,75.0
Thisara Perera,212.0,170,14.0,15.1428571429,124.705882353
Thomas Odoyo,34.0,47,4.0,8.5,72.3404255319
Tillakaratne Dilshan,690.0,595,27.0,25.5555555556,115.966386555
Tim Bresnan,152.0,117,7.0,21.7142857143,129.914529915
Tim Gruijters,14.0,11,1.0,14.0,127.272727273
Tim Murtagh,11.0,12,1.0,11.0,91.6666666667
Tim Paine,1.0,6,2.0,0.5,16.6666666667
Tim Southee,48.0,48,7.0,6.85714285714,100.0
Timm van der Gugten,22.0,24,3.0,7.33333333333,91.6666666667
Timycen Maruma,38.0,37,3.0,12.6666666667,102.702702703
Tinashe Panyangara,2.0,6,0.0,inf,33.3333333333
Tino Best,17.0,9,0.0,inf,188.888888889
Tinotenda Mutombodzi,1.0,4,1.0,1.0,25.0
Todd Astle,1.0,5,1.0,1.0,20.0
Tom Cooper,155.0,91,4.0,38.75,170.32967033
Tom Latham,37.0,36,2.0,18.5,102.777777778
Tom de Grooth,89.0,78,4.0,22.25,114.102564103
Tony Ura,38.0,29,2.0,19.0,131.034482759
Travis Dowlin,37.0,37,0.0,inf,100.0
Travis Head,2.0,5,1.0,2.0,40.0
Trent Boult,12.0,22,5.0,2.4,54.5454545455
Trent Johnston,74.0,72,9.0,8.22222222222,102.777777778
Tyson Gordon,4.0,3,1.0,4.0,133.333333333
Umar Akmal,558.0,538,28.0,19.9285714286,103.717472119
Umar Amin,55.0,47,3.0,18.3333333333,117.021276596
Umar Bhatti,16.0,20,1.0,16.0,80.0
Umar Gul,88.0,83,10.0,8.8,106.024096386
Upul Tharanga,48.0,42,4.0,12.0,114.285714286
Usman Ghani,81.0,73,3.0,27.0,110.95890411
Usman Khan,2.0,3,0.0,inf,66.6666666667
Usman Limbada,53.0,43,2.0,26.5,123.255813953
Vani Morea,6.0,4,1.0,6.0,150.0
Vaughn van Jaarsveld,15.0,22,2.0,7.5,68.1818181818
Vernon Philander,4.0,12,2.0,2.0,33.3333333333
Vikram Solanki,67.0,56,2.0,33.5,119.642857143
Virat Kohli,758.0,592,9.0,84.2222222222,128.040540541
Virender Sehwag,226.0,152,7.0,32.2857142857,148.684210526
Vivian Kingma,1.0,4,1.0,1.0,25.0
Vusi Sibanda,222.0,239,11.0,20.1818181818,92.8870292887
Wahab Riaz,49.0,37,4.0,12.25,132.432432432
Waqas Barkat,43.0,52,5.0,8.6,82.6923076923
Waqas Khan,4.0,9,1.0,4.0,44.4444444444
Wavell Hinds,16.0,22,2.0,8.0,72.7272727273
Wayne Parnell,47.0,36,2.0,23.5,130.555555556
Wellington Masakadza,6.0,8,0.0,inf,75.0
Wesley Barresi,299.0,231,9.0,33.2222222222,129.437229437
William Perkins,9.0,12,1.0,9.0,75.0
William Porterfield,591.0,530,25.0,23.64,111.509433962
Xavier Doherty,11.0,8,0.0,inf,137.5
Xavier Marshall,96.0,82,6.0,16.0,117.073170732
Yasir Arafat,54.0,51,4.0,13.5,105.882352941
Younis Khan,164.0,162,10.0,16.4,101.234567901
Yusuf Pathan,114.0,84,5.0,22.8,135.714285714
Yuvraj Singh,501.0,396,15.0,33.4,126.515151515
Zaheer Khan,13.0,10,2.0,6.5,130.0
Zaheer Maqsood,2.0,5,1.0,2.0,40.0
Zahid Hussain,3.0,8,0.0,inf,37.5
Zeeshan Maqsood,89.0,66,3.0,29.6666666667,134.848484848
Zeeshan Siddiqui,35.0,36,1.0,35.0,97.2222222222
Ziaur Rahman,40.0,49,5.0,8.0,81.6326530612
Zubin Surkari,4.0,17,2.0,2.0,23.5294117647
Zulfiqar Babar,16.0,22,0.0,inf,72.7272727273
