,batting_team,date,opposition,inning,opposition_score,runs_scored,win,num_out,balls_faced,num_fours,num_sixes,num_dots,year,run_rate
0,Afghanistan,2010-02-01,Ireland,1,124.0,121.0,False,9.0,120,12,2,64,08-10,6.05
1,Afghanistan,2010-02-04,Canada,2,140.0,143.0,True,5.0,119,15,1,42,08-10,7.21008403361
2,Afghanistan,2010-02-09,Ireland,1,126.0,139.0,True,6.0,120,9,4,53,08-10,6.95
3,Afghanistan,2010-02-10,Scotland,1,117.0,131.0,True,6.0,120,5,3,51,08-10,6.55
4,Afghanistan,2010-02-12,Netherlands,1,132.0,128.0,False,9.0,120,5,3,44,08-10,6.4
5,Afghanistan,2010-02-13,Ireland,2,142.0,147.0,True,2.0,105,14,2,42,08-10,8.4
6,Afghanistan,2010-05-01,India,1,116.0,115.0,False,8.0,120,8,3,63,08-10,5.75
7,Afghanistan,2010-05-05,South Africa,2,139.0,80.0,False,10.0,96,3,5,74,08-10,5.0
8,Afghanistan,2012-03-14,Netherlands,2,149.0,150.0,True,6.0,118,17,1,42,11-13,7.62711864407
9,Afghanistan,2012-03-18,Canada,1,133.0,174.0,True,9.0,120,14,6,47,11-13,8.7
10,Afghanistan,2012-03-24,Ireland,1,156.0,152.0,False,7.0,120,10,7,49,11-13,7.6
11,Afghanistan,2012-09-19,India,2,159.0,136.0,False,10.0,117,12,4,58,11-13,6.97435897436
12,Afghanistan,2012-09-21,England,2,196.0,80.0,False,10.0,104,6,4,79,11-13,4.61538461538
13,Afghanistan,2013-03-03,Scotland,1,105.0,132.0,True,7.0,120,12,3,50,11-13,6.6
14,Afghanistan,2013-03-04,Scotland,2,139.0,140.0,True,3.0,105,12,3,49,11-13,8.0
15,Afghanistan,2013-09-30,Kenya,1,56.0,162.0,True,6.0,120,10,11,53,11-13,8.1
16,Afghanistan,2013-10-11,Kenya,2,149.0,115.0,False,8.0,120,7,4,70,11-13,5.75
17,Afghanistan,2013-11-16,Scotland,1,154.0,171.0,True,4.0,120,11,10,51,11-13,8.55
18,Afghanistan,2013-11-24,Kenya,1,114.0,143.0,True,7.0,114,10,4,40,11-13,7.52631578947
19,Afghanistan,2013-11-30,Ireland,2,225.0,157.0,False,10.0,113,17,9,59,11-13,8.33628318584
20,Afghanistan,2013-12-08,Pakistan,1,138.0,137.0,False,8.0,120,8,6,59,11-13,6.85
21,Afghanistan,2014-03-16,Bangladesh,1,78.0,72.0,False,10.0,103,6,1,74,14-16,4.19417475728
22,Afghanistan,2014-03-18,Hong Kong,2,153.0,154.0,True,3.0,108,12,6,42,14-16,8.55555555556
23,Afghanistan,2014-03-20,Nepal,2,141.0,132.0,False,8.0,120,13,2,55,14-16,6.6
24,Afghanistan,2015-07-09,Netherlands,1,130.0,162.0,True,6.0,120,6,10,45,14-16,8.1
25,Afghanistan,2015-07-10,United Arab Emirates,2,164.0,168.0,True,2.0,104,13,9,37,14-16,9.69230769231
26,Afghanistan,2015-07-12,Scotland,1,173.0,210.0,True,5.0,120,9,17,42,14-16,10.5
27,Afghanistan,2015-07-21,Hong Kong,1,162.0,161.0,False,6.0,120,16,6,52,14-16,8.05
28,Afghanistan,2015-07-23,Papua New Guinea,2,127.0,128.0,True,4.0,110,5,5,45,14-16,6.98181818182
29,Afghanistan,2015-07-25,Oman,2,121.0,130.0,True,5.0,113,12,3,66,14-16,6.90265486726
30,Afghanistan,2015-10-26,Zimbabwe,2,153.0,154.0,True,4.0,115,11,6,36,14-16,8.0347826087
31,Afghanistan,2015-10-28,Zimbabwe,2,190.0,191.0,True,5.0,119,18,4,40,14-16,9.63025210084
32,Afghanistan,2015-11-28,Hong Kong,1,149.0,162.0,True,6.0,120,11,8,50,14-16,8.1
33,Afghanistan,2015-11-29,Oman,1,121.0,159.0,True,8.0,120,18,4,54,14-16,7.95
34,Afghanistan,2015-11-30,Oman,1,148.0,160.0,True,4.0,120,13,5,41,14-16,8.0
35,Afghanistan,2016-01-08 00:00:00,Zimbabwe,1,182.0,187.0,True,5.0,120,13,12,54,14-16,9.35
36,Afghanistan,2016-01-10 00:00:00,Zimbabwe,1,134.0,215.0,True,6.0,120,15,13,51,14-16,10.75
37,Afghanistan,2016-02-19 00:00:00,United Arab Emirates,2,176.0,160.0,False,10.0,119,13,4,41,14-16,8.06722689076
38,Afghanistan,2016-02-20 00:00:00,Oman,2,165.0,168.0,True,7.0,117,18,3,35,14-16,8.61538461538
39,Afghanistan,2016-02-22 00:00:00,Hong Kong,1,112.0,178.0,True,5.0,120,12,10,50,14-16,8.9
40,Australia,2005-02-17,New Zealand,1,170.0,214.0,True,4.0,120,15,12,35,05-07,10.7
41,Australia,2005-06-13,England,2,179.0,79.0,False,10.0,87,10,0,55,05-07,5.44827586207
42,Australia,2006-01-09,South Africa,1,114.0,210.0,True,3.0,122,17,9,41,05-07,10.3278688525
43,Australia,2006-02-24,South Africa,2,201.0,199.0,False,7.0,120,16,9,43,05-07,9.95
44,Australia,2007-01-09,England,1,144.0,221.0,True,5.0,120,15,14,39,05-07,11.05
45,Australia,2007-09-12,Zimbabwe,1,139.0,138.0,False,9.0,120,11,3,59,05-07,6.9
46,Australia,2007-09-14,England,2,135.0,136.0,True,2.0,89,17,3,30,05-07,9.16853932584
47,Australia,2007-09-16,Bangladesh,2,123.0,124.0,True,1.0,83,10,7,33,05-07,8.96385542169
48,Australia,2007-09-18,Pakistan,1,165.0,164.0,False,6.0,120,19,1,41,05-07,8.2
49,Australia,2007-09-20,Sri Lanka,2,101.0,102.0,True,0.0,62,11,2,23,05-07,9.87096774194
50,Australia,2007-09-22,India,2,188.0,173.0,False,7.0,120,10,10,55,05-07,8.65
51,Australia,2007-10-20,India,1,167.0,166.0,False,5.0,120,20,2,47,05-07,8.3
52,Australia,2007-12-11,New Zealand,1,132.0,186.0,True,6.0,120,18,5,39,05-07,9.3
53,Australia,2008-02-01,India,2,74.0,75.0,True,1.0,69,4,2,34,08-10,6.52173913043
54,Australia,2008-06-20,West Indies,1,102.0,97.0,False,3.0,66,9,4,29,08-10,8.81818181818
55,Australia,2009-01-11,South Africa,1,130.0,182.0,True,9.0,120,12,8,42,08-10,9.1
56,Australia,2009-01-13,South Africa,2,157.0,161.0,True,4.0,113,14,4,42,08-10,8.54867256637
57,Australia,2009-02-15,New Zealand,1,149.0,150.0,True,6.0,120,11,2,37,08-10,7.5
58,Australia,2009-03-27,South Africa,1,168.0,166.0,False,7.0,120,11,8,48,08-10,8.3
59,Australia,2009-03-29,South Africa,2,156.0,139.0,False,8.0,120,9,5,58,08-10,6.95
60,Australia,2009-05-07,Pakistan,1,109.0,108.0,False,10.0,119,9,0,61,08-10,5.44537815126
61,Australia,2009-06-06,West Indies,1,172.0,169.0,False,5.0,120,12,6,55,08-10,8.45
62,Australia,2009-06-08,Sri Lanka,1,160.0,159.0,False,9.0,120,14,7,56,08-10,7.95
63,Australia,2010-02-05,Pakistan,1,125.0,127.0,True,8.0,112,6,3,39,08-10,6.80357142857
64,Australia,2010-02-21,West Indies,1,141.0,179.0,True,8.0,120,13,8,39,08-10,8.95
65,Australia,2010-02-23,West Indies,2,138.0,142.0,True,2.0,70,11,11,29,08-10,12.1714285714
66,Australia,2010-02-26,New Zealand,2,118.0,119.0,True,4.0,96,13,2,48,08-10,7.4375
67,Australia,2010-02-28,New Zealand,2,214.0,214.0,False,4.0,120,19,10,29,08-10,10.7
68,Australia,2010-05-02,Pakistan,1,157.0,191.0,True,9.0,120,14,11,45,08-10,9.55
69,Australia,2010-05-05,Bangladesh,1,114.0,141.0,True,7.0,120,7,5,46,08-10,7.05
70,Australia,2010-05-07,India,1,135.0,184.0,True,4.0,120,6,16,43,08-10,9.2
71,Australia,2010-05-09,Sri Lanka,1,87.0,168.0,True,4.0,120,14,7,46,08-10,8.4
72,Australia,2010-05-11,West Indies,2,105.0,109.0,True,4.0,99,10,1,45,08-10,6.60606060606
73,Australia,2010-05-14,Pakistan,2,191.0,197.0,True,7.0,120,11,14,52,08-10,9.85
74,Australia,2010-05-16,England,1,148.0,147.0,False,5.0,120,10,3,44,08-10,7.35
75,Australia,2010-07-05,Pakistan,2,167.0,144.0,False,10.0,112,16,3,51,08-10,7.71428571429
76,Australia,2010-07-06,Pakistan,2,162.0,151.0,False,10.0,118,19,1,48,08-10,7.67796610169
77,Australia,2010-10-31,Sri Lanka,1,135.0,133.0,False,8.0,120,10,3,53,08-10,6.65
78,Australia,2011-01-12,England,1,158.0,157.0,False,4.0,120,14,4,45,11-13,7.85
79,Australia,2011-01-14,England,1,143.0,147.0,True,7.0,120,9,5,48,11-13,7.35
80,Australia,2011-08-06,Sri Lanka,2,198.0,163.0,False,8.0,120,12,6,51,11-13,8.15
81,Australia,2011-08-08,Sri Lanka,2,157.0,149.0,False,9.0,120,10,8,59,11-13,7.45
82,Australia,2011-10-13,South Africa,2,146.0,147.0,True,5.0,117,12,4,50,11-13,7.53846153846
83,Australia,2011-10-16,South Africa,1,148.0,147.0,False,8.0,120,8,8,57,11-13,7.35
84,Australia,2012-02-01,India,1,140.0,171.0,True,4.0,120,9,9,43,11-13,8.55
85,Australia,2012-02-03,India,1,135.0,131.0,False,10.0,118,13,2,53,11-13,6.66101694915
86,Australia,2012-03-27,West Indies,2,150.0,153.0,True,2.0,109,11,8,43,11-13,8.42201834862
87,Australia,2012-03-30,West Indies,2,160.0,146.0,False,9.0,120,9,8,53,11-13,7.3
88,Australia,2012-09-05,Pakistan,1,90.0,89.0,False,10.0,117,3,0,61,11-13,4.5641025641
89,Australia,2012-09-07,Pakistan,2,151.0,151.0,False,8.0,120,10,8,46,11-13,7.55
90,Australia,2012-09-10,Pakistan,1,74.0,168.0,True,7.0,120,6,12,55,11-13,8.4
91,Australia,2012-09-19,Ireland,2,123.0,125.0,True,3.0,91,13,3,44,11-13,8.24175824176
92,Australia,2012-09-22,West Indies,2,191.0,100.0,False,1.0,55,8,6,17,11-13,10.9090909091
93,Australia,2012-09-28,India,2,140.0,141.0,True,1.0,89,9,10,42,11-13,9.50561797753
94,Australia,2012-09-30,South Africa,2,146.0,147.0,True,2.0,106,13,5,41,11-13,8.32075471698
95,Australia,2012-10-02,Pakistan,2,149.0,117.0,False,7.0,120,8,3,48,11-13,5.85
96,Australia,2012-10-05,West Indies,2,205.0,131.0,False,10.0,100,12,4,46,11-13,7.86
97,Australia,2013-01-26,Sri Lanka,1,139.0,137.0,False,3.0,120,5,4,39,11-13,6.85
98,Australia,2013-01-28,Sri Lanka,2,161.0,119.0,False,3.0,90,10,2,32,11-13,7.93333333333
99,Australia,2013-02-13,West Indies,2,191.0,164.0,False,8.0,120,5,8,38,11-13,8.2
100,Australia,2013-08-29,England,1,209.0,248.0,True,6.0,120,19,18,35,11-13,12.4
101,Australia,2013-08-31,England,2,195.0,168.0,False,9.0,120,11,8,59,11-13,8.4
102,Australia,2013-10-10,India,1,202.0,201.0,False,7.0,120,24,7,41,11-13,10.05
103,Australia,2014-01-29,England,1,200.0,213.0,True,4.0,120,16,11,44,14-16,10.65
104,Australia,2014-01-31,England,2,130.0,131.0,True,2.0,89,18,3,34,14-16,8.83146067416
105,Australia,2014-02-02,England,1,111.0,195.0,True,6.0,120,12,13,48,14-16,9.75
106,Australia,2014-03-12,South Africa,2,80.0,81.0,True,7.0,41,7,4,13,14-16,11.8536585366
107,Australia,2014-03-14,South Africa,2,128.0,129.0,True,4.0,90,12,4,26,14-16,8.6
108,Australia,2014-03-23,Pakistan,2,191.0,175.0,False,10.0,120,16,8,48,14-16,8.75
109,Australia,2014-03-28,West Indies,1,179.0,178.0,False,8.0,120,15,7,52,14-16,8.9
110,Australia,2014-03-30,India,2,159.0,86.0,False,10.0,98,3,5,54,14-16,5.26530612245
111,Australia,2014-04-01,Bangladesh,2,153.0,158.0,True,3.0,105,16,8,45,14-16,9.02857142857
112,Australia,2014-10-05,Pakistan,2,96.0,97.0,True,4.0,84,9,3,45,14-16,6.92857142857
113,Australia,2014-11-05,South Africa,1,145.0,144.0,False,6.0,120,6,4,43,14-16,7.2
114,Australia,2014-11-07,South Africa,2,101.0,102.0,True,3.0,76,16,0,38,14-16,8.05263157895
115,Australia,2014-11-09,South Africa,2,145.0,146.0,True,8.0,119,9,6,56,14-16,7.36134453782
116,Australia,2015-08-31,England,2,182.0,177.0,False,8.0,120,17,5,41,14-16,8.85
117,Australia,2016-01-26 00:00:00,India,2,188.0,151.0,False,10.0,117,10,6,52,14-16,7.74358974359
118,Australia,2016-01-29 00:00:00,India,2,184.0,157.0,False,8.0,120,13,4,45,14-16,7.85
119,Australia,2016-01-31 00:00:00,India,1,200.0,197.0,False,5.0,120,16,7,39,14-16,9.85
120,Australia,2016-03-04 00:00:00,South Africa,1,158.0,157.0,False,8.0,120,11,8,53,14-16,7.85
121,Australia,2016-03-06 00:00:00,South Africa,2,204.0,205.0,True,5.0,120,17,9,50,14-16,10.25
122,Bangladesh,2007-09-01,Kenya,2,138.0,139.0,True,5.0,106,12,5,48,05-07,7.8679245283
123,Bangladesh,2007-09-02,Pakistan,2,191.0,161.0,False,7.0,120,15,6,51,05-07,8.05
124,Bangladesh,2007-09-13,West Indies,2,164.0,165.0,True,4.0,108,18,4,46,05-07,9.16666666667
125,Bangladesh,2007-09-15,South Africa,1,146.0,144.0,False,10.0,117,12,7,66,05-07,7.38461538462
126,Bangladesh,2007-09-16,Australia,1,124.0,123.0,False,8.0,120,9,1,65,05-07,6.15
127,Bangladesh,2007-09-18,Sri Lanka,2,147.0,83.0,False,10.0,96,7,1,48,05-07,5.1875
128,Bangladesh,2007-09-20,Pakistan,1,141.0,140.0,False,9.0,118,7,3,58,05-07,7.1186440678
129,Bangladesh,2008-04-20,Pakistan,2,203.0,101.0,False,10.0,96,5,3,51,08-10,6.3125
130,Bangladesh,2008-11-05,South Africa,2,118.0,109.0,False,8.0,84,14,0,44,08-10,7.78571428571
131,Bangladesh,2009-06-06,India,2,180.0,155.0,False,8.0,120,8,7,47,08-10,7.75
132,Bangladesh,2009-06-08,Ireland,1,138.0,137.0,False,8.0,120,8,3,46,08-10,6.85
133,Bangladesh,2009-08-02,West Indies,1,119.0,118.0,False,9.0,120,11,2,69,08-10,5.9
134,Bangladesh,2010-02-03,New Zealand,1,79.0,78.0,False,10.0,105,8,2,64,08-10,4.45714285714
135,Bangladesh,2010-05-01,Pakistan,2,172.0,151.0,False,7.0,120,11,5,52,08-10,7.55
136,Bangladesh,2010-05-05,Australia,2,141.0,114.0,False,10.0,112,5,5,64,08-10,6.10714285714
137,Bangladesh,2011-10-11,West Indies,2,132.0,135.0,True,7.0,119,10,3,52,11-13,6.80672268908
138,Bangladesh,2011-11-29,Pakistan,2,135.0,85.0,False,9.0,120,3,1,77,11-13,4.25
139,Bangladesh,2012-07-18,Ireland,1,119.0,190.0,True,5.0,120,16,7,40,11-13,9.5
140,Bangladesh,2012-07-20,Ireland,1,145.0,147.0,True,6.0,120,10,4,48,11-13,7.35
141,Bangladesh,2012-07-21,Ireland,2,140.0,139.0,False,8.0,120,11,6,59,11-13,6.95
142,Bangladesh,2012-07-24,Scotland,2,162.0,124.0,False,10.0,102,8,4,38,11-13,7.29411764706
143,Bangladesh,2012-07-25,Netherlands,2,144.0,145.0,True,2.0,108,10,7,40,11-13,8.05555555556
144,Bangladesh,2012-07-26,Netherlands,1,131.0,128.0,False,10.0,120,10,2,50,11-13,6.4
145,Bangladesh,2012-09-21,New Zealand,2,191.0,132.0,False,8.0,120,13,3,62,11-13,6.6
146,Bangladesh,2012-09-25,Pakistan,1,178.0,175.0,False,6.0,120,22,3,53,11-13,8.75
147,Bangladesh,2012-12-10,West Indies,2,197.0,179.0,False,1.0,120,16,7,36,11-13,8.95
148,Bangladesh,2013-03-31,Sri Lanka,2,198.0,181.0,False,7.0,120,16,5,39,11-13,9.05
149,Bangladesh,2013-05-11,Zimbabwe,2,168.0,162.0,False,8.0,120,16,5,50,11-13,8.1
150,Bangladesh,2013-05-12,Zimbabwe,1,134.0,168.0,True,6.0,119,19,2,51,11-13,8.47058823529
151,Bangladesh,2013-11-06,New Zealand,2,204.0,189.0,False,9.0,120,18,8,37,11-13,9.45
152,Bangladesh,2014-02-12,Sri Lanka,2,168.0,166.0,False,7.0,120,20,2,46,14-16,8.3
153,Bangladesh,2014-02-14,Sri Lanka,1,123.0,120.0,False,10.0,119,13,2,68,14-16,6.05042016807
154,Bangladesh,2014-03-16,Afghanistan,2,72.0,78.0,True,1.0,72,7,3,39,14-16,6.5
155,Bangladesh,2014-03-18,Nepal,2,126.0,132.0,True,2.0,93,9,8,36,14-16,8.51612903226
156,Bangladesh,2014-03-20,Hong Kong,1,114.0,108.0,False,10.0,99,12,1,46,14-16,6.54545454545
157,Bangladesh,2014-03-25,West Indies,2,171.0,98.0,False,10.0,115,10,1,61,14-16,5.11304347826
158,Bangladesh,2014-03-28,India,1,141.0,138.0,False,7.0,120,16,4,63,14-16,6.9
159,Bangladesh,2014-03-30,Pakistan,2,190.0,140.0,False,7.0,120,12,4,52,14-16,7.0
160,Bangladesh,2014-04-01,Australia,1,158.0,153.0,False,4.0,120,12,4,54,14-16,7.65
161,Bangladesh,2015-04-24,Pakistan,2,141.0,143.0,True,3.0,98,22,2,41,14-16,8.75510204082
162,Bangladesh,2015-07-05,South Africa,2,148.0,96.0,False,10.0,113,6,2,59,14-16,5.09734513274
163,Bangladesh,2015-07-07,South Africa,2,169.0,138.0,False,10.0,116,9,5,52,14-16,7.13793103448
164,Bangladesh,2015-11-13,Zimbabwe,2,131.0,136.0,True,6.0,106,13,2,46,14-16,7.69811320755
165,Bangladesh,2015-11-15,Zimbabwe,1,136.0,135.0,False,9.0,120,10,2,56,14-16,6.75
166,Bangladesh,2016-01-15 00:00:00,Zimbabwe,2,163.0,166.0,True,6.0,113,14,3,36,14-16,8.81415929204
167,Bangladesh,2016-01-17 00:00:00,Zimbabwe,1,125.0,167.0,True,4.0,120,11,8,48,14-16,8.35
168,Bangladesh,2016-01-20 00:00:00,Zimbabwe,2,187.0,156.0,False,6.0,120,19,2,51,14-16,7.8
169,Bangladesh,2016-01-22 00:00:00,Zimbabwe,2,180.0,162.0,False,10.0,114,14,7,51,14-16,8.52631578947
170,Bangladesh,2016-02-24 00:00:00,India,2,166.0,121.0,False,7.0,120,8,3,64,14-16,6.05
171,Bangladesh,2016-02-26 00:00:00,United Arab Emirates,1,82.0,133.0,True,8.0,120,8,5,54,14-16,6.65
172,Bangladesh,2016-02-28 00:00:00,Sri Lanka,1,124.0,147.0,True,7.0,120,15,4,51,14-16,7.35
173,Bangladesh,2016-03-02 00:00:00,Pakistan,2,129.0,131.0,True,5.0,115,10,3,52,14-16,6.8347826087
174,Bangladesh,2016-03-06 00:00:00,India,1,122.0,120.0,False,5.0,90,12,2,31,14-16,8.0
175,Bermuda,2008-08-03,Scotland,1,143.0,140.0,False,16.0,120,6,3,94,08-10,7.0
176,Bermuda,2008-08-05,Canada,1,71.0,70.0,False,10.0,120,1,0,84,08-10,3.5
177,Canada,2008-08-02,Netherlands,2,96.0,98.0,True,6.0,114,3,4,63,08-10,5.15789473684
178,Canada,2008-08-03,Kenya,1,92.0,91.0,False,9.0,118,5,0,61,08-10,4.62711864407
179,Canada,2008-08-05,Bermuda,2,70.0,71.0,True,2.0,64,7,1,34,08-10,6.65625
180,Canada,2008-10-10,Pakistan,2,137.0,102.0,False,9.0,120,5,5,84,08-10,5.1
181,Canada,2008-10-11,Zimbabwe,1,135.0,135.0,False,6.0,118,6,6,60,08-10,6.86440677966
182,Canada,2008-10-12,Sri Lanka,2,153.0,138.0,False,10.0,120,8,6,70,08-10,6.9
183,Canada,2008-10-13,Zimbabwe,2,184.0,75.0,False,10.0,116,6,2,82,08-10,3.87931034483
184,Canada,2010-02-03,Ireland,1,172.0,176.0,True,3.0,120,19,4,42,08-10,8.8
185,Canada,2010-02-04,Afghanistan,1,143.0,140.0,False,6.0,120,14,2,49,08-10,7.0
186,Canada,2010-02-09,Netherlands,1,146.0,142.0,False,7.0,120,11,1,43,08-10,7.1
187,Canada,2010-02-10,Kenya,1,141.0,138.0,False,9.0,120,8,4,46,08-10,6.9
188,Canada,2012-03-13,Netherlands,2,135.0,93.0,False,10.0,100,4,2,50,11-13,5.58
189,Canada,2012-03-18,Afghanistan,2,174.0,133.0,False,9.0,120,6,4,66,11-13,6.65
190,Canada,2012-03-22,Ireland,1,109.0,106.0,False,8.0,120,10,0,59,11-13,5.3
191,Canada,2012-03-23,Scotland,1,136.0,135.0,False,8.0,120,6,5,64,11-13,6.75
192,Canada,2013-03-15,Kenya,2,126.0,128.0,True,5.0,111,17,0,55,11-13,6.91891891892
193,Canada,2013-03-16,Kenya,2,139.0,118.0,False,11.0,113,12,0,44,11-13,6.26548672566
194,Canada,2013-11-16,Ireland,2,168.0,166.0,False,3.0,120,14,2,39,11-13,8.3
195,Canada,2013-11-26,Kenya,2,146.0,125.0,False,10.0,116,10,3,50,11-13,6.46551724138
196,England,2005-06-13,Australia,1,79.0,179.0,True,7.0,120,19,3,38,05-07,8.95
197,England,2006-06-15,Sri Lanka,2,163.0,161.0,False,5.0,120,17,1,47,05-07,8.05
198,England,2006-08-28,Pakistan,1,148.0,144.0,False,7.0,120,17,1,52,05-07,7.2
199,England,2007-01-09,Australia,2,221.0,144.0,False,9.0,120,13,1,52,05-07,7.2
200,England,2007-06-28,West Indies,2,208.0,193.0,False,7.0,120,14,6,35,05-07,9.65
